run_id,model,strategy,target_prevalence,achieved_train_prevalence,train_rows_after_sampling,train_positives_after_sampling,n_synthetic_samples,val_rows,val_positives,test_rows,test_positives,train_time_sec,created_at,pr_auc_val,roc_auc_val,precision_val,recall_val,f1_val,weighted_accuracy_val,tp_val,fp_val,tn_val,fn_val,pr_auc_test,roc_auc_test,precision_test,recall_test,f1_test,weighted_accuracy_test,tp_test,fp_test,tn_test,fn_test,optimal_threshold,threshold_criterion,precision_val_thresh,recall_val_thresh,f1_val_thresh,weighted_accuracy_val_thresh,tp_val_thresh,fp_val_thresh,tn_val_thresh,fn_val_thresh,precision_test_thresh,recall_test_thresh,f1_test_thresh,weighted_accuracy_test_thresh,tp_test_thresh,fp_test_thresh,tn_test_thresh,fn_test_thresh
random_forest__random_undersampling__p005__20260404_144450,random_forest,random_undersampling,0.005,0.005,12762200,63811,0,26409984,17107,26409984,19686,99.59,2026-04-04T14:52:46,0.03264416764342857,0.9529529689756941,1.0,0.00011691120593908926,0.00023379507861359517,0.500058455602986,2.0,0.0,26392877.0,17105.0,0.05656150150446792,0.9415113821100134,0.9512195121951219,0.0019811033221578786,0.003953971713894662,0.5009905137683675,39.0,2.0,26390296.0,19647.0,0.18567207792207788,f1,0.0554910468740451,0.10615537499269305,0.07288343065839906,0.5524921128354395,1816.0,30910.0,26361967.0,15291.0,0.07403918904312648,0.24357411358325715,0.11355966322869424,0.6206508816715152,4795.0,59968.0,26330330.0,14891.0
xgboost__class_weighting__p001__20260407_160620,xgboost,class_weighting,0.001,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,123.82,2026-04-07T16:12:54,0.032090999907573164,0.9663906817768548,0.004644128790716814,0.9420704974571813,0.00924269383576669,0.9055995631835849,16116.0,3454072.0,22938805.0,991.0,0.05578713297415099,0.972212018142385,0.005654356676807021,0.9454942598801178,0.011241485690403457,0.910732199301533,18613.0,3273185.0,23117113.0,1073.0,0.9516028165817261,f1,0.056592962991900406,0.12702402525282047,0.07830066301527817,0.5628257668639781,2173.0,36224.0,26356653.0,14934.0,0.07457627118644068,0.27715127501777914,0.11752794950778708,0.637292893373147,5456.0,67704.0,26322594.0,14230.0
xgboost__smote__p010__20260407_083543,xgboost,smote,0.01,0.01,124427048,1244270,1180459,26409984,17107,26409984,19686,126.84,2026-04-07T08:43:31,0.027855221227041895,0.9610050404603939,0.0,0.0,0.0,0.4999996779434252,0.0,17.0,26392860.0,17107.0,0.05515019042277653,0.9650842726122231,0.2631578947368421,0.0005079752108097125,0.001013993104846887,0.5002534571074185,10.0,28.0,26390270.0,19676.0,0.054518770426511765,f1,0.05087719298245614,0.09493189922254049,0.06624920961918943,0.5468920068766596,1624.0,30296.0,26362581.0,15483.0,0.06181324792028115,0.28233262216803817,0.10142150690680828,0.6395680343233705,5558.0,84358.0,26305940.0,14128.0
random_forest__smote__p010__20260407_065056,random_forest,smote,0.01,0.01,124427048,1244270,1180459,26409984,17107,26409984,19686,736.52,2026-04-07T07:09:12,0.031778323852157585,0.9456407876585758,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.048424803700727395,0.9356119877417209,0.6470588235294118,0.0011175454637813674,0.002231237322515213,0.500558545375612,22.0,12.0,26390286.0,19664.0,0.17229761904761903,f1,0.05732243440032971,0.09756240135616999,0.07221513099539191,0.5482612308392674,1669.0,27447.0,26365430.0,15438.0,0.06287642968740682,0.2678045311388804,0.10184192479692465,0.6324135555897349,5272.0,78575.0,26311723.0,14414.0
random_forest__smote__p005__20260407_071352,random_forest,smote,0.005,0.00499999,123801786,619008,555197,26409984,17107,26409984,19686,715.47,2026-04-07T07:31:59,0.03260941623862332,0.9433445418892881,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.045030260037747946,0.9353137902940737,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.11869841269841269,f1,0.055945867193317574,0.10101128193137313,0.07200900112514064,0.549953238133679,1728.0,29159.0,26363718.0,15379.0,0.06222560864990385,0.2613532459615971,0.10051871171936817,0.6292075603730182,5145.0,77538.0,26312760.0,14541.0
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,0.00394851,123671095,488317,424506,26409984,17107,26409984,19686,754.33,2026-04-07T12:25:05,0.025367064991672184,0.9468048925214116,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.039847020191833796,0.9439933279671767,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.0818452380952381,f1,0.05140649762282092,0.09101537382358099,0.06570313324190316,0.5449633923280803,1557.0,28731.0,26364146.0,15550.0,0.056794701986754965,0.21781977039520473,0.09009728321391801,0.6075606772424678,4288.0,71212.0,26319086.0,15398.0
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,0.00394851,123671095,488317,424506,26409984,17107,26409984,19686,769.95,2026-04-07T12:44:21,0.02536705713705322,0.9468049027882328,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.03984673393325593,0.9439933363374127,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.0818452380952381,f1,0.05140649762282092,0.09101537382358099,0.06570313324190316,0.5449633923280803,1557.0,28731.0,26364146.0,15550.0,0.056794701986754965,0.21781977039520473,0.09009728321391801,0.6075606772424678,4288.0,71212.0,26319086.0,15398.0
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,733.47,2026-04-07T13:43:04,0.02085892075731582,0.8794007227312373,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.0376583865603394,0.8879187219619873,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.07752404945782553,f1,0.050376544563866345,0.0805518208920325,0.06198690987607117,0.5397838079745951,1378.0,25976.0,26366901.0,15729.0,0.06854876428878787,0.18612211724067865,0.10019552346965284,0.5921177763580493,3664.0,49787.0,26340511.0,16022.0
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,738.7,2026-04-07T15:35:31,0.019740391511517564,0.8706932991019474,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.036462200269939606,0.8861013380869714,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.06861379722244497,f1,0.04315365879487451,0.09528263284035775,0.059403414785254835,0.5469566241071873,1630.0,36142.0,26356735.0,15477.0,0.06273450616833345,0.21827694808493345,0.09745863621415043,0.6079221558334038,4297.0,64198.0,26326100.0,15389.0
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,737.77,2026-04-07T15:53:01,0.019732817568934344,0.8394665062167449,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.03494809295312302,0.8604797784949629,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.05981899538380535,f1,0.043542684828948734,0.09791313497398725,0.06027890238416554,0.5482595423010075,1675.0,36793.0,26356084.0,15432.0,0.06395121216684234,0.21573707203088488,0.09865731276714365,0.606690773642316,4247.0,62163.0,26328135.0,15439.0
xgboost__adasyn__p005__20260407_131054,xgboost,adasyn,0.005,0.00394851,123671095,488317,424506,26409984,17107,26409984,19686,122.16,2026-04-07T13:18:21,0.019245414215984743,0.962348853185754,0.0,0.0,0.0,0.49999910960826416,0.0,47.0,26392830.0,17107.0,0.031570871955324334,0.9657421488787702,0.5078125,0.006603677740526262,0.01303780964797914,0.5032994516293178,130.0,126.0,26390172.0,19556.0,0.01952826790511608,f1,0.03274798798670415,0.17910796749868474,0.055371826149814764,0.587839524958068,3064.0,90499.0,26302378.0,14043.0,0.032540590987225455,0.4144569744996444,0.060343393030815144,0.7026325937134896,8159.0,242574.0,26147724.0,11527.0
xgboost__adasyn__p010__20260407_130303,xgboost,adasyn,0.01,0.00394851,123671095,488317,424506,26409984,17107,26409984,19686,121.2,2026-04-07T13:10:52,0.019245414215984743,0.962348853185754,0.0,0.0,0.0,0.49999910960826416,0.0,47.0,26392830.0,17107.0,0.031570871955324334,0.9657421488787702,0.5078125,0.006603677740526262,0.01303780964797914,0.5032994516293178,130.0,126.0,26390172.0,19556.0,0.01952826790511608,f1,0.03274798798670415,0.17910796749868474,0.055371826149814764,0.587839524958068,3064.0,90499.0,26302378.0,14043.0,0.032540590987225455,0.4144569744996444,0.060343393030815144,0.7026325937134896,8159.0,242574.0,26147724.0,11527.0
random_forest__random_undersampling__p001__20260404_145300,random_forest,random_undersampling,0.001,0.001,63811000,63811,0,26409984,17107,26409984,19686,372.15,2026-04-04T15:07:14,0.02070045978408255,0.9277691797731962,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.029428292788948117,0.9096940270574819,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.04963888888888889,f1,0.04866105061297171,0.08306541181972292,0.06137035997322335,0.5410064086062514,1421.0,27781.0,26365096.0,15686.0,0.057683135106857665,0.1904399065325612,0.08854615666221849,0.5940596025949874,3749.0,61244.0,26329054.0,15937.0
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,0.00096679,123301985,119207,55396,26409984,17107,26409984,19686,740.91,2026-04-07T13:03:00,0.019287615278173503,0.9270343579446282,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.02833123292984669,0.9180723710050688,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.03726190476190476,f1,0.045010603028583375,0.08809259367510376,0.059579346880683164,0.543440565222934,1507.0,31974.0,26360903.0,15600.0,0.05268942776671017,0.19480849334552475,0.08294492327324242,0.5960978953765428,3835.0,68950.0,26321348.0,15851.0
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,719.26,2026-04-04T13:43:26,0.016100808135062424,0.8990504118032856,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.02598919497787268,0.8860843873053625,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.026765873015873017,f1,0.03762485293013242,0.08785877126322558,0.0526869281733095,0.5432010830672649,1503.0,38444.0,26354433.0,15604.0,0.036637085474077534,0.19922787767956923,0.06189243782350713,0.5976600389634014,3922.0,103128.0,26287170.0,15764.0
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,712.97,2026-04-04T14:00:19,0.01610079914858195,0.899050390035986,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.025989187756788157,0.8860843828541334,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.026765873015873017,f1,0.03762485293013242,0.08785877126322558,0.0526869281733095,0.5432010830672649,1503.0,38444.0,26354433.0,15604.0,0.036637085474077534,0.19922787767956923,0.06189243782350713,0.5976600389634014,3922.0,103128.0,26287170.0,15764.0
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,722.35,2026-04-04T14:17:20,0.016100803008995183,0.899050390301765,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.02598917607545815,0.8860843885882791,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.026765873015873017,f1,0.03762485293013242,0.08785877126322558,0.0526869281733095,0.5432010830672649,1503.0,38444.0,26354433.0,15604.0,0.036637085474077534,0.19922787767956923,0.06189243782350713,0.5976600389634014,3922.0,103128.0,26287170.0,15764.0
random_forest__smote__p001__20260407_081802,random_forest,smote,0.001,0.001,123306084,123306,59495,26409984,17107,26409984,19686,719.12,2026-04-07T08:35:40,0.021338856009447585,0.9219096544367127,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.023764326322816654,0.9032598812640018,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.04840079365079366,f1,0.05044010715652507,0.07704448471385983,0.060966302009852674,0.5380521912897572,1318.0,24812.0,26368065.0,15789.0,0.051295971491411234,0.18718886518337904,0.08052532669026703,0.5923031815417802,3685.0,68153.0,26322145.0,16001.0
xgboost__smote__p005__20260407_084334,xgboost,smote,0.005,0.00499999,123801786,619008,555197,26409984,17107,26409984,19686,122.03,2026-04-07T08:50:46,0.018140792396455826,0.961225358817552,0.0018823529411764706,0.00023382241187817852,0.00041597337770382697,0.5000767299100702,4.0,2121.0,26390756.0,17103.0,0.02194283462380991,0.964813166362374,0.016329196603527107,0.0025398760540485624,0.004395990856339019,0.5012128716005693,50.0,3012.0,26387286.0,19636.0,0.022930700331926346,f1,0.03116315133774165,0.20909569182206114,0.054242171506558495,0.602441103247103,3577.0,111206.0,26281671.0,13530.0,0.03254156576573648,0.40683734633749874,0.06026290246123054,0.6989074130079096,8009.0,238107.0,26152191.0,11677.0
