run_id,model,strategy,target_prevalence,achieved_train_prevalence,train_rows_after_sampling,train_positives_after_sampling,n_synthetic_samples,val_rows,val_positives,test_rows,test_positives,train_time_sec,created_at,pr_auc_val,roc_auc_val,precision_val,recall_val,f1_val,weighted_accuracy_val,tp_val,fp_val,tn_val,fn_val,pr_auc_test,roc_auc_test,precision_test,recall_test,f1_test,weighted_accuracy_test,tp_test,fp_test,tn_test,fn_test,optimal_threshold,threshold_criterion,precision_val_thresh,recall_val_thresh,f1_val_thresh,weighted_accuracy_val_thresh,tp_val_thresh,fp_val_thresh,tn_val_thresh,fn_val_thresh,precision_test_thresh,recall_test_thresh,f1_test_thresh,weighted_accuracy_test_thresh,tp_test_thresh,fp_test_thresh,tn_test_thresh,fn_test_thresh
xgboost__smote__p005__20260401_104757,xgboost,smote,0.005,0.00499999,123801786,619008,555197,26409984,17107,26409984,19686,50.22,2026-04-01T10:55:32,0.012327268340212472,0.8699834538346153,0.0,0.0,0.0,0.4999999810555111,0.0,1.0,26392876.0,17107.0,0.018272390949818276,0.8988938073677536,0.0,0.0,0.0,0.4999998105364347,0.0,10.0,26390288.0,19686.0,0.12770730257034302,f1,0.031561698489598174,0.05179166423101654,0.039221762323203256,0.5253808067925931,886.0,27186.0,26365691.0,16221.0,0.04439081021630209,0.07380879813065122,0.055438971345720935,0.5363117759733103,1453.0,31279.0,26359019.0,18233.0
random_forest__smote__p010__20260401_095355,random_forest,smote,0.01,0.01,124427048,1244270,1180459,26409984,17107,26409984,19686,479.86,2026-04-01T10:09:36,0.011656859251487763,0.8623021700793696,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.01819338829484156,0.8916246613170491,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.2136708988700166,f1,0.030644619461759545,0.04799205003799614,0.03740489316141966,0.5235040362146102,821.0,25970.0,26366907.0,16286.0,0.04405899267229385,0.07238646754038403,0.05477714351611601,0.5356074503129549,1425.0,30918.0,26359380.0,18261.0
random_forest__random_undersampling__p005__20260401_091133,random_forest,random_undersampling,0.005,0.005,12762200,63811,0,26409984,17107,26409984,19686,52.06,2026-04-01T09:20:25,0.011522985478278062,0.8597841814672037,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.018192829596186816,0.8858717137783817,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.1266152308429661,f1,0.02873582006603681,0.05138247501022973,0.036858436766185845,0.525128396250651,879.0,29710.0,26363167.0,16228.0,0.04289407152799477,0.07670425683226659,0.055020131538195266,0.5377137688189826,1510.0,33693.0,26356605.0,18176.0
random_forest__adasyn__p010__20260401_110329,random_forest,adasyn,0.01,0.0100592,124434490,1251712,1187901,26409984,17107,26409984,19686,463.58,2026-04-01T11:30:25,0.011632149075326321,0.8618449468188237,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.018106689627892348,0.8920243368285522,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.20447033051780594,f1,0.025986673500768838,0.059273981411118254,0.03613234272275376,0.5289169858345634,1014.0,38006.0,26354871.0,16093.0,0.03773996986044074,0.08777811642791832,0.05278511752936325,0.5430543006829921,1728.0,44059.0,26346239.0,17958.0
xgboost__adasyn__p010__20260401_122407,xgboost,adasyn,0.01,0.0100592,124434490,1251712,1187901,26409984,17107,26409984,19686,51.17,2026-04-01T12:43:13,0.012135556149002736,0.8693025068637206,0.09230769230769231,0.00035073361781726777,0.0006988120195667365,0.5001742490831084,6.0,59.0,26392818.0,17101.0,0.01779975859859857,0.898996091477533,0.03017241379310345,0.00035558264756679875,0.0007028818154433176,0.5001735283935221,7.0,225.0,26390073.0,19679.0,0.2284487783908844,f1,0.02953466959416389,0.04875197287660022,0.036784651008931524,0.5238568312132148,834.0,27404.0,26365473.0,16273.0,0.041660294252592295,0.06918622371228283,0.0520055747532408,0.533999503553576,1362.0,31331.0,26358967.0,18324.0
xgboost__smote__p010__20260401_104012,xgboost,smote,0.01,0.01,124427048,1244270,1180459,26409984,17107,26409984,19686,51.39,2026-04-01T10:47:46,0.011949782173745697,0.8684401638973552,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.017791518332870723,0.898404791893342,0.0,0.0,0.0,0.49999996210728853,0.0,2.0,26390296.0,19686.0,0.22473052144050598,f1,0.031242704847871762,0.04693984918454434,0.03751547571772291,0.5229982253531335,803.0,24899.0,26367978.0,16304.0,0.04317223483619851,0.06761150055877273,0.052696175469158286,0.5332468517023421,1331.0,29499.0,26360799.0,18355.0
xgboost__class_weighting__p010__20260401_140629,xgboost,class_weighting,0.01,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,50.02,2026-04-01T14:13:57,0.012132792834844832,0.8722851963642618,0.017377967780112552,0.16823522534634944,0.03150192371893454,0.5810346975366545,2878.0,162734.0,26230143.0,14229.0,0.017491775704378914,0.9006355062846834,0.02303649003408699,0.20014223305902673,0.04131733073264856,0.5969053129451826,3940.0,167093.0,26223205.0,15746.0,0.5906738042831421,f1,0.030154431676791334,0.04816741684690477,0.03708955055926901,0.523581641142209,824.0,26502.0,26366375.0,16283.0,0.040158714921122524,0.06375088895661891,0.049276557315900034,0.531307129561972,1255.0,29996.0,26360302.0,18431.0
random_forest__smote__p005__20260401_100947,random_forest,smote,0.005,0.00499999,123801786,619008,555197,26409984,17107,26409984,19686,466.36,2026-04-01T10:25:05,0.011371155069587765,0.8612530921900313,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.017323770933484747,0.8897865924168601,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.11722221203225822,f1,0.02791314539510209,0.052902320687437894,0.036544246804902175,0.5258540863680553,905.0,31517.0,26361360.0,16202.0,0.03770342666531891,0.0757899014528091,0.050356070066488914,0.5371734734622992,1492.0,38080.0,26352218.0,18194.0
xgboost__class_weighting__p005__20260401_141409,xgboost,class_weighting,0.005,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,49.12,2026-04-01T14:21:59,0.012104006270191928,0.8722982917704859,0.010822259583455488,0.5286724732565616,0.021210330303286146,0.7486759317664867,9044.0,826641.0,25566236.0,8063.0,0.017074896463642988,0.9004699911596733,0.014141387069304736,0.5896576247079143,0.027620372165955417,0.7794965679056335,11608.0,809245.0,25581053.0,8078.0,0.7420283555984497,f1,0.03194472668156879,0.04594610393406208,0.03768699654775604,0.5225218127936897,786.0,23819.0,26369058.0,16321.0,0.04154922225702057,0.06065224017067967,0.04931540796728827,0.5298042805820503,1194.0,27543.0,26362755.0,18492.0
random_forest__adasyn__p005__20260401_113036,random_forest,adasyn,0.005,0.00505503,123808634,625856,562045,26409984,17107,26409984,19686,467.25,2026-04-01T11:57:25,0.01112344440102128,0.8588092629864235,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.0167138109164529,0.887684517733051,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.12168868414159575,f1,0.02951540024043444,0.041620389314315775,0.034537957797720106,0.5203666848420064,712.0,23411.0,26369466.0,16395.0,0.038650044406434,0.059687087270141215,0.04691836205003294,0.5292898174134127,1175.0,29226.0,26361072.0,18511.0
