run_id,model,strategy,target_prevalence,feature,importance
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,sender_entity_type,0.05698019273124805
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,receiver_tx_count_1d,0.05420119115929401
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,receiver_tx_count_7d,0.023902301897373475
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,receiver_tx_count_30d,0.022768579993499325
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,receiver_avg_amount_7d,0.022045367366956527
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,receiver_avg_amount_30d,0.023715057457227327
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,receiver_unique_counterparties_7d,0.07980483552610562
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,receiver_unique_counterparties_30d,0.08573847299164147
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,receiver_cross_bank_ratio_30d,0.02853569300185322
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,receiver_entity_type,0.13442684607201705
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,amount_paid,0.07177997997461782
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,amount_received,0.06933167482610286
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,payment_format,0.018798221184555562
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,payment_currency,0.02100377295348659
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,hour,0.04192087181397926
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,day_of_week,0.030052838945699625
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,same_bank_flag,0.001223960737737259
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,self_transfer_flag,0.0008747646089439756
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,currency_mismatch,7.290447680629333e-05
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,amount_ratio,4.8463947018039685e-05
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,fan_in_score,0.04632807163247096
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,fan_out_score,0.0197141686660472
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,sender_tx_count_1d,0.026844042335144928
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,sender_tx_count_7d,0.03437277007669712
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,sender_tx_count_30d,0.044587102900901225
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,sender_avg_amount_7d,0.0600968075413743
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,sender_avg_amount_30d,0.08686876100005655
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,sender_unique_counterparties_7d,0.018905120667853437
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,sender_unique_counterparties_30d,0.019564644290567042
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,sender_cross_bank_ratio_30d,0.027229794745355727
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,sender_entity_type,0.013852966323986781
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,receiver_tx_count_1d,0.026572758211695545
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,receiver_tx_count_7d,0.032677157656191766
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,receiver_tx_count_30d,0.052568398088306705
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,receiver_avg_amount_7d,0.064617125378471
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,receiver_avg_amount_30d,0.06771674774351412
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,receiver_unique_counterparties_7d,0.019636705836180067
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,receiver_unique_counterparties_30d,0.027048002354257816
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,receiver_cross_bank_ratio_30d,0.04131714900596361
random_forest__baseline__p001__20260404_140031,random_forest,baseline,0.001,receiver_entity_type,0.014374252076016883
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,amount_paid,0.07177997997461782
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,amount_received,0.06933167482610286
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,payment_format,0.018798221184555562
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,payment_currency,0.02100377295348659
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,hour,0.04192087181397926
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,day_of_week,0.030052838945699625
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,same_bank_flag,0.001223960737737259
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,self_transfer_flag,0.0008747646089439756
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,currency_mismatch,7.290447680629333e-05
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,amount_ratio,4.8463947018039685e-05
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,fan_in_score,0.04632807163247096
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,fan_out_score,0.0197141686660472
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,sender_tx_count_1d,0.026844042335144928
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,sender_tx_count_7d,0.03437277007669712
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,sender_tx_count_30d,0.044587102900901225
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,sender_avg_amount_7d,0.0600968075413743
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,sender_avg_amount_30d,0.08686876100005655
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,sender_unique_counterparties_7d,0.018905120667853437
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,sender_unique_counterparties_30d,0.019564644290567042
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,sender_cross_bank_ratio_30d,0.027229794745355727
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,sender_entity_type,0.013852966323986781
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,receiver_tx_count_1d,0.026572758211695545
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,receiver_tx_count_7d,0.032677157656191766
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,receiver_tx_count_30d,0.052568398088306705
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,receiver_avg_amount_7d,0.064617125378471
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,receiver_avg_amount_30d,0.06771674774351412
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,receiver_unique_counterparties_7d,0.019636705836180067
